[2023-03-17 15:56:36,257] INFO in base: Scheduler started
[2023-03-17 15:57:05,330] ERROR in volume_of_traffic: Receive AIsense > AuthenticationFailed
[2023-03-17 15:57:05,849] ERROR in volume_of_traffic: Receive AIsense > Local DB disconnect
[2023-03-17 15:59:42,918] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-17 15:59:43,990] ERROR in volume_of_traffic: Tomorrow > AuthenticationFailed
[2023-03-17 15:59:44,504] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-17 15:59:45,050] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-17 15:59:45,566] ERROR in volume_of_traffic: Tomorrow > Local DB disconnect
[2023-03-17 15:59:46,093] ERROR in volume_of_traffic: Tomorrow > Local DB disconnect
[2023-03-17 15:59:46,231] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,232] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,234] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,235] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,239] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,241] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,243] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,244] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,247] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,248] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,249] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,251] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,252] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,254] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,255] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,259] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,260] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,263] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,265] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,266] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,267] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,269] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,269] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,271] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,272] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 15:59:46,275] INFO in base: Added job "add_tomorrow_document" to job store "default"
[2023-03-17 15:59:46,276] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,277] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,280] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,281] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,282] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,283] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,284] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,285] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,286] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,288] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,289] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,290] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,292] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,294] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,296] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,298] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,299] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,300] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,301] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,302] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,302] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,303] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,304] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,305] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 15:59:46,306] INFO in base: Scheduler started
[2023-03-17 16:00:00,009] INFO in base: Running job "nx_overlay (trigger: cron[hour='16'], next run at: 2023-03-18 16:00:00 CST)" (scheduled at 2023-03-17 16:00:00+08:00)
[2023-03-17 16:01:53,752] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-17 16:01:54,796] ERROR in volume_of_traffic: Tomorrow > AuthenticationFailed
[2023-03-17 16:01:55,310] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-17 16:01:55,845] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-17 16:01:56,357] ERROR in volume_of_traffic: Tomorrow > Local DB disconnect
[2023-03-17 16:01:56,862] ERROR in volume_of_traffic: Tomorrow > Local DB disconnect
[2023-03-17 16:01:57,017] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,026] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,033] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,039] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,041] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,042] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,044] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,045] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,047] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,048] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,049] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,051] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,052] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,053] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,055] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,056] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,057] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,059] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,059] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,061] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,062] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,063] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,064] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,065] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,066] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:01:57,070] INFO in base: Added job "add_tomorrow_document" to job store "default"
[2023-03-17 16:01:57,073] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,074] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,075] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,076] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,078] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,079] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,080] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,081] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,082] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,083] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,085] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,086] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,088] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,090] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,091] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,092] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,093] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,094] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,095] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,096] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,098] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,099] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,100] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,102] INFO in base: Added job "nx_overlay" to job store "default"
[2023-03-17 16:01:57,103] INFO in base: Scheduler started
[2023-03-17 16:04:13,540] INFO in volume_of_traffic: Wait MongoDB Building
[2023-03-17 16:04:14,600] ERROR in volume_of_traffic: Tomorrow > AuthenticationFailed
[2023-03-17 16:04:15,117] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-17 16:04:15,659] ERROR in volume_of_traffic: INIT > Local DB disconnect
[2023-03-17 16:04:16,174] ERROR in volume_of_traffic: Tomorrow > Local DB disconnect
[2023-03-17 16:04:16,689] ERROR in volume_of_traffic: Tomorrow > Local DB disconnect
[2023-03-17 16:04:16,840] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,842] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,844] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,845] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,848] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,850] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,852] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,853] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,854] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,856] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,857] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,859] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2023-03-17 16:04:16,860] INFO in base: Adding job tentatively -- it will be properly scheduled when the scheduler starts
